Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,87031,2019,1,1,24.6,1,N
IDCJAC0010,87031,2019,1,2,23.1,1,N
IDCJAC0010,87031,2019,1,3,30.8,1,N
IDCJAC0010,87031,2019,1,4,43.8,1,N
IDCJAC0010,87031,2019,1,5,21.0,1,N
IDCJAC0010,87031,2019,1,6,21.7,1,N
IDCJAC0010,87031,2019,1,7,23.4,1,N
IDCJAC0010,87031,2019,1,8,24.6,1,N
IDCJAC0010,87031,2019,1,9,20.7,1,N
IDCJAC0010,87031,2019,1,10,21.9,1,N
IDCJAC0010,87031,2019,1,11,28.9,1,N
IDCJAC0010,87031,2019,1,12,25.6,1,N
IDCJAC0010,87031,2019,1,13,28.8,1,N
IDCJAC0010,87031,2019,1,14,33.6,1,N
IDCJAC0010,87031,2019,1,15,30.4,1,N
IDCJAC0010,87031,2019,1,16,26.8,1,N
IDCJAC0010,87031,2019,1,17,35.0,1,N
IDCJAC0010,87031,2019,1,18,27.6,1,N
IDCJAC0010,87031,2019,1,19,24.3,1,N
IDCJAC0010,87031,2019,1,20,23.8,1,N
IDCJAC0010,87031,2019,1,21,27.4,1,N
IDCJAC0010,87031,2019,1,22,29.8,1,N
IDCJAC0010,87031,2019,1,23,24.7,1,N
IDCJAC0010,87031,2019,1,24,37.0,1,N
IDCJAC0010,87031,2019,1,25,44.8,1,N
IDCJAC0010,87031,2019,1,26,26.2,1,N
IDCJAC0010,87031,2019,1,27,28.4,1,N
IDCJAC0010,87031,2019,1,28,32.1,1,N
IDCJAC0010,87031,2019,1,29,37.7,1,N
IDCJAC0010,87031,2019,1,30,34.0,1,N
IDCJAC0010,87031,2019,1,31,22.0,1,N
IDCJAC0010,87031,2019,2,1,22.3,1,Y
IDCJAC0010,87031,2019,2,2,31.6,1,Y
IDCJAC0010,87031,2019,2,3,35.2,1,Y
IDCJAC0010,87031,2019,2,4,23.1,1,Y
IDCJAC0010,87031,2019,2,5,26.8,1,Y
IDCJAC0010,87031,2019,2,6,31.9,1,Y
IDCJAC0010,87031,2019,2,7,28.7,1,Y
IDCJAC0010,87031,2019,2,8,22.6,1,Y
IDCJAC0010,87031,2019,2,9,20.5,1,Y
IDCJAC0010,87031,2019,2,10,23.7,1,Y
IDCJAC0010,87031,2019,2,11,29.2,1,Y
IDCJAC0010,87031,2019,2,12,22.0,1,Y
IDCJAC0010,87031,2019,2,13,19.9,1,Y
IDCJAC0010,87031,2019,2,14,23.7,1,Y
IDCJAC0010,87031,2019,2,15,22.7,1,Y
IDCJAC0010,87031,2019,2,16,23.9,1,Y
IDCJAC0010,87031,2019,2,17,27.5,1,Y
IDCJAC0010,87031,2019,2,18,23.9,1,Y
IDCJAC0010,87031,2019,2,19,20.6,1,Y
IDCJAC0010,87031,2019,2,20,24.1,1,Y
IDCJAC0010,87031,2019,2,21,20.8,1,Y
IDCJAC0010,87031,2019,2,22,22.1,1,Y
IDCJAC0010,87031,2019,2,23,24.6,1,Y
IDCJAC0010,87031,2019,2,24,33.3,1,Y
IDCJAC0010,87031,2019,2,25,35.4,1,Y
IDCJAC0010,87031,2019,2,26,23.3,1,Y
IDCJAC0010,87031,2019,2,27,28.3,1,Y
IDCJAC0010,87031,2019,2,28,38.5,1,Y
IDCJAC0010,87031,2019,3,1,38.9,1,N
IDCJAC0010,87031,2019,3,2,37.2,1,N
IDCJAC0010,87031,2019,3,3,39.1,1,N
IDCJAC0010,87031,2019,3,4,26.3,1,N
IDCJAC0010,87031,2019,3,5,24.8,1,N
IDCJAC0010,87031,2019,3,6,18.1,1,N
IDCJAC0010,87031,2019,3,7,20.9,1,N
IDCJAC0010,87031,2019,3,8,28.0,1,N
IDCJAC0010,87031,2019,3,9,25.1,1,N
IDCJAC0010,87031,2019,3,10,25.6,1,N
IDCJAC0010,87031,2019,3,11,22.8,1,N
IDCJAC0010,87031,2019,3,12,19.5,1,N
IDCJAC0010,87031,2019,3,13,19.3,1,N
IDCJAC0010,87031,2019,3,14,21.7,1,N
IDCJAC0010,87031,2019,3,15,22.0,1,N
IDCJAC0010,87031,2019,3,16,26.8,1,N
IDCJAC0010,87031,2019,3,17,25.6,1,N
IDCJAC0010,87031,2019,3,18,26.4,1,N
IDCJAC0010,87031,2019,3,19,23.7,1,N
