Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,087031,2019,01,01,12.7,1,N
IDCJAC0011,087031,2019,01,02,18.1,1,N
IDCJAC0011,087031,2019,01,03,17.3,1,N
IDCJAC0011,087031,2019,01,04,16.2,1,N
IDCJAC0011,087031,2019,01,05,16.5,1,N
IDCJAC0011,087031,2019,01,06,10.1,1,N
IDCJAC0011,087031,2019,01,07,17.1,1,N
IDCJAC0011,087031,2019,01,08,16.0,1,N
IDCJAC0011,087031,2019,01,09,14.7,1,N
IDCJAC0011,087031,2019,01,10,10.4,1,N
IDCJAC0011,087031,2019,01,11,10.9,1,N
IDCJAC0011,087031,2019,01,12,18.0,1,N
IDCJAC0011,087031,2019,01,13,15.7,1,N
IDCJAC0011,087031,2019,01,14,16.6,1,N
IDCJAC0011,087031,2019,01,15,18.5,1,N
IDCJAC0011,087031,2019,01,16,18.5,1,N
IDCJAC0011,087031,2019,01,17,18.9,1,N
IDCJAC0011,087031,2019,01,18,21.1,1,N
IDCJAC0011,087031,2019,01,19,14.4,1,N
IDCJAC0011,087031,2019,01,20,15.0,1,N
IDCJAC0011,087031,2019,01,21,18.3,1,N
IDCJAC0011,087031,2019,01,22,18.2,1,N
IDCJAC0011,087031,2019,01,23,16.9,1,N
IDCJAC0011,087031,2019,01,24,16.7,1,N
IDCJAC0011,087031,2019,01,25,21.2,1,N
IDCJAC0011,087031,2019,01,26,17.7,1,N
IDCJAC0011,087031,2019,01,27,16.5,1,N
IDCJAC0011,087031,2019,01,28,13.7,1,N
IDCJAC0011,087031,2019,01,29,14.5,1,N
IDCJAC0011,087031,2019,01,30,14.7,1,N
IDCJAC0011,087031,2019,01,31,16.3,1,N
IDCJAC0011,087031,2019,02,01,14.3,1,Y
IDCJAC0011,087031,2019,02,02,12.9,1,Y
IDCJAC0011,087031,2019,02,03,17.3,1,Y
IDCJAC0011,087031,2019,02,04,18.3,1,Y
IDCJAC0011,087031,2019,02,05,17.5,1,Y
IDCJAC0011,087031,2019,02,06,16.7,1,Y
IDCJAC0011,087031,2019,02,07,19.9,1,Y
IDCJAC0011,087031,2019,02,08,18.7,1,Y
IDCJAC0011,087031,2019,02,09,12.9,1,Y
IDCJAC0011,087031,2019,02,10,10.0,1,Y
IDCJAC0011,087031,2019,02,11,12.3,1,Y
IDCJAC0011,087031,2019,02,12,16.4,1,Y
IDCJAC0011,087031,2019,02,13,9.7,1,Y
IDCJAC0011,087031,2019,02,14,8.1,1,Y
IDCJAC0011,087031,2019,02,15,13.6,1,Y
IDCJAC0011,087031,2019,02,16,15.7,1,Y
IDCJAC0011,087031,2019,02,17,12.8,1,Y
IDCJAC0011,087031,2019,02,18,18.7,1,Y
IDCJAC0011,087031,2019,02,19,10.9,1,Y
IDCJAC0011,087031,2019,02,20,9.4,1,Y
IDCJAC0011,087031,2019,02,21,11.9,1,Y
IDCJAC0011,087031,2019,02,22,15.9,1,Y
IDCJAC0011,087031,2019,02,23,16.2,1,Y
IDCJAC0011,087031,2019,02,24,11.3,1,Y
IDCJAC0011,087031,2019,02,25,15.1,1,Y
IDCJAC0011,087031,2019,02,26,17.6,1,Y
IDCJAC0011,087031,2019,02,27,11.8,1,Y
IDCJAC0011,087031,2019,02,28,15.5,1,Y
IDCJAC0011,087031,2019,03,01,26.3,1,N
IDCJAC0011,087031,2019,03,02,22.5,1,N
IDCJAC0011,087031,2019,03,03,23.9,1,N
IDCJAC0011,087031,2019,03,04,17.7,1,N
IDCJAC0011,087031,2019,03,05,16.8,1,N
IDCJAC0011,087031,2019,03,06,12.1,1,N
IDCJAC0011,087031,2019,03,07,6.6,1,N
IDCJAC0011,087031,2019,03,08,11.4,1,N
IDCJAC0011,087031,2019,03,09,13.3,1,N
IDCJAC0011,087031,2019,03,10,12.3,1,N
IDCJAC0011,087031,2019,03,11,15.9,1,N
IDCJAC0011,087031,2019,03,12,11.8,1,N
IDCJAC0011,087031,2019,03,13,8.0,1,N
IDCJAC0011,087031,2019,03,14,10.3,1,N
IDCJAC0011,087031,2019,03,15,12.5,1,N
IDCJAC0011,087031,2019,03,16,10.8,1,N
IDCJAC0011,087031,2019,03,17,13.9,1,N
IDCJAC0011,087031,2019,03,18,15.1,1,N
IDCJAC0011,087031,2019,03,19,18.7,1,N
IDCJAC0011,087031,2019,03,20,18.7,1,N
IDCJAC0011,087031,2019,03,21,19.3,1,N
IDCJAC0011,087031,2019,03,22,18.2,1,N
IDCJAC0011,087031,2019,03,23,18.8,1,N
IDCJAC0011,087031,2019,03,24,14.3,1,N
IDCJAC0011,087031,2019,03,25,14.1,1,N
IDCJAC0011,087031,2019,03,26,10.9,1,N
IDCJAC0011,087031,2019,03,27,6.7,1,N
IDCJAC0011,087031,2019,03,28,9.1,1,N
IDCJAC0011,087031,2019,03,29,14.8,1,N
IDCJAC0011,087031,2019,03,30,8.9,1,N
IDCJAC0011,087031,2019,03,31,9.2,1,N
IDCJAC0011,087031,2019,04,01,12.7,1,N
IDCJAC0011,087031,2019,04,02,4.8,1,N
IDCJAC0011,087031,2019,04,03,9.7,1,N
IDCJAC0011,087031,2019,04,04,11.8,1,N
IDCJAC0011,087031,2019,04,05,12.4,1,N
IDCJAC0011,087031,2019,04,06,15.5,1,N
IDCJAC0011,087031,2019,04,07,7.8,1,N
IDCJAC0011,087031,2019,04,08,11.2,1,N
IDCJAC0011,087031,2019,04,09,8.9,1,N
IDCJAC0011,087031,2019,04,10,8.7,1,N
IDCJAC0011,087031,2019,04,11,11.9,1,N
IDCJAC0011,087031,2019,04,12,4.6,1,N
IDCJAC0011,087031,2019,04,13,8.1,1,N
IDCJAC0011,087031,2019,04,14,12.5,1,N
IDCJAC0011,087031,2019,04,15,11.9,1,N
IDCJAC0011,087031,2019,04,16,18.1,1,N
IDCJAC0011,087031,2019,04,17,21.8,1,N
IDCJAC0011,087031,2019,04,18,10.2,1,N
IDCJAC0011,087031,2019,04,19,7.2,1,N
IDCJAC0011,087031,2019,04,20,6.9,1,N
IDCJAC0011,087031,2019,04,21,16.1,1,N
IDCJAC0011,087031,2019,04,22,14.3,1,N
IDCJAC0011,087031,2019,04,23,8.1,1,N
IDCJAC0011,087031,2019,04,24,14.6,1,N
IDCJAC0011,087031,2019,04,25,7.6,1,N
IDCJAC0011,087031,2019,04,26,11.3,1,N
IDCJAC0011,087031,2019,04,27,5.5,1,N
IDCJAC0011,087031,2019,04,28,12.0,1,N
IDCJAC0011,087031,2019,04,29,7.5,1,N
IDCJAC0011,087031,2019,04,30,5.5,1,N
IDCJAC0011,087031,2019,05,01,15.7,1,Y
IDCJAC0011,087031,2019,05,02,15.7,1,Y
IDCJAC0011,087031,2019,05,03,9.6,1,Y
IDCJAC0011,087031,2019,05,04,11.8,1,Y
IDCJAC0011,087031,2019,05,05,10.1,1,Y
IDCJAC0011,087031,2019,05,06,8.3,1,Y
IDCJAC0011,087031,2019,05,07,5.6,1,Y
